id;Наименование продукта;kal
2988;Паста (макаронные изделия), свеже-охлажденная, обычная, как покупная;213
2989;Паста (макаронные изделия), свеже-охлажденная, обычная, приготовленная;103
2990;Паста (макаронные изделия), свеже-охлажденная, со шпинатом, как покупная;79
2991;Паста (макаронные изделия), свеже-охлажденная, со шпинатом, приготовленная;87
2992;Перловая крупа, приготовленная;197
2993;Перловая крупа, сырая;192
2994;Пластинки, пшеница, цельно-молотая;223
2995;Просо, приготовленное;184
2996;Просо, сырое;192
2997;Пшеница, зерно, мягкая;131
2998;Пшеница, зерно, мягкая, красная, зимняя;93
2999;Пшеница, зерно, твердая;124
3000;Пшеница, зерно, твердая, белая;204
3001;Пшеница, зерно, твердая, красная, весенняя;106
3002;Пшеница, зерно, твердая, красная, зимняя;200
3003;пшеница, Мука пшеничная, из зародышей;114
3004;пшеница, Мука, 1 сорта, из мягкой пшеницы;224
3005;пшеница, Мука, 1 сорта, из твердой пшеницы;276
3006;пшеница, Мука, 2 сорта, из мягкой пшеницы;250
3007;пшеница, Мука, белая (промышленная), 10% белка, неотбеленная, обогащенная;98
3008;пшеница, Мука, белая (промышленная), 10% белка, отбеленная, необогащенная;172
3009;пшеница, Мука, белая (промышленная), 10% белка, отбеленная, обогащенная;228
3010;пшеница, Мука, белая (промышленная), 11.5% белка, неотбеленная, обогащенная;245
3011;пшеница, Мука, белая (промышленная), 11.5% белка, отбеленная, необогащенная;179
3012;пшеница, Мука, белая (промышленная), 11.5% белка, отбеленная, обогащенная;229
3013;пшеница, Мука, белая (промышленная), 13% белка, отбеленная, необогащенная;132
3014;пшеница, Мука, белая (промышленная), 13% белка, отбеленная, обогащенная;221
3015;пшеница, Мука, белая (промышленная), 15% белка, отбеленная, необогащенная;129
3016;пшеница, Мука, белая (промышленная), 15% белка, отбеленная, обогащенная;248
3017;пшеница, Мука, белая (промышленная), 9% белка, отбеленная, необогащенная;137
3018;пшеница, Мука, белая (промышленная), 9% белка, отбеленная, обогащенная;269
3019;пшеница, Мука, белая, для кексов, обогащенная;244
3020;пшеница, Мука, белая, для любых целей, обогащенная, неотбеленная;165
3021;пшеница, Мука, белая, для смеси тортиллы, обогащенная;279
3022;пшеница, Мука, белая, для хлеба, обогащенная;299
3023;пшеница, Мука, белая, универсальная, обогащенная, отбеленная;258
3024;пшеница, Мука, белая, универсальная, самоподнимающаяся, обогащенная;139
3025;пшеница, Мука, высшего сорта;69
3026;пшеница, Мука, высшего сорта, из мягкой пшеницы;289
3027;пшеница, Мука, для выпечки хлеба, необогащенная;122
3028;пшеница, Мука, из цельных зерен;296
3029;пшеница, Мука, обойная;160
3030;пшеница, Мука, пшеничная, белая, для всех целей, необогащенная;172
3031;пшеница, Мука, пшеничная, белая, для любых целей, обогащенная кальцием;254
3032;Пшеница, мягко белая;97
3033;Пшеница, пророщенная;70
3034;Пшеница, твердая;134
3035;Пшеничные зародыши, необработанные;280
3036;Пшеничные отруби, необработанные;188
3037;Рапс (низкоэруковый);223
3038;Рис, белый, длиннозерный, обычный, приготовленный;278
3039;Рис, белый, длиннозерный, обычный, приготовленный, необогащенный, без соли;190
3040;Рис, белый, длиннозерный, обычный, приготовленный, необогащенный, с солью;215
3041;Рис, белый, длиннозерный, обычный, приготовленный, обогащенный, с солью;167
3042;Рис, белый, длиннозерный, обычный, сырой, необогащенный;256
3043;Рис, белый, длиннозерный, обычный, сырой, обогащенный;244
3044;Рис, белый, длиннозерный, пропаренный или быстроразваривающийся, обогащенный, приготовленный;75
3045;Рис, белый, длиннозерный, пропаренный или быстроразваривающийся, обогащенный, сухой;294
3046;Рис, белый, длиннозерный, пропаренный, необогащенный, приготовленный;263
3047;Рис, белый, длиннозерный, пропаренный, необогащенный, сухой;215
3048;Рис, белый, длиннозерный, пропаренный, обогащенный, сваренный;278
3049;Рис, белый, длиннозерный, пропаренный, обогащенный, сухой;271
3050;Рис, белый, клейкий (нерассыпчатый), приготовленный;279
3051;Рис, белый, клейкий (нерассыпчатый), сырой;193
3052;Рис, белый, короткозерный, приготовленный;258
3053;Рис, белый, короткозерный, приготовленный, необогащенный;59
3054;Рис, белый, короткозерный, сырой;270
3055;Рис, белый, короткозерный, сырой, необогащенный;184
3056;Рис, белый, приготовленный, на пару, Китайский ресторан;262
3057;Рис, белый, с пастой, ( макаронными изделиями), приготовленный;116
3058;Рис, белый, с пастой, ( макаронными изделиями), сухой;240
3059;Рис, белый, среднезерный, приготовленный;120
3060;Рис, белый, среднезерный, приготовленный, необогащенный;65
3061;Рис, белый, среднезерный, сырой, необогащенный;55
3062;Рис, белый, среднезерный, сырой, обогащенный;284
3063;Рис, Дикий, приготовленный;179
3064;Рис, Дикий, сырой;95
3065;Рис, зерно, продовольственное;120
3066;Рис, коричневый, длиннозерный, приготовленный;52
3067;Рис, коричневый, длиннозерный, сырой;195
3068;Рис, коричневый, среднезерный, приготовленный;154
3069;Рис, коричневый, среднезерный, сырой;259
3070;рис, Мука, диетическая;172
3071;рис, Мука, рисовая, из белого риса;74
3072;рис, Мука, рисовая, из коричневого риса;232
3073;Рисовые отруби, необработанные;163
3074;Рожь;51
3075;Рожь молотая жареная;285
3076;Рожь, зерно, продовольственное, сырая;90
3077;рожь, Мука, обдирная, ржаная;119
3078;рожь, Мука, обойная, ржаная;68
3079;рожь, Мука, ржаная, светлая;96
3080;рожь, Мука, ржаная, средняя;286
3081;рожь, Мука, ржаная, темная;163
3082;рожь, Мука, сеяная, ржаная;173
3083;Семена, подсолнечника, семечки;237
3084;Сорго;106
3085;соя, Мука, соевая, необезжиренная;272
3086;соя, Мука, соевая, обезжиренная;171
3087;соя, Мука, соевая, полуобезжиренная;233
3088;Спагетти, из муки цельной пшеницы, приготовленные;218
3089;Спагетти, из муки цельной пшеницы, сухие;225
3090;Спагетти, обогащенные белком, приготовленные, enriched (n x 5.70);53
3091;Спагетти, обогащенные белком, приготовленные, enriched (n x 6.25);124
3092;Спагетти, обогащенные белком, сухие, enriched (n x 5.70);123
3093;Спагетти, обогащенные белком, сухие, enriched (n x 6.25);252
3094;Спагетти, обогащенные, приготовленные, без доб. соли;254
3095;Спагетти, приготовленные, необогащенные, без соли;54
3096;Спагетти, приготовленные, необогащенные, с солью;151
3097;Спагетти, приготовленные, обогащенные, с солью;238
3098;Спагетти, со шпинатом, приготовленные;273
3099;Спагетти, со шпинатом, сухие;81
3100;Спагетти, сухие, необогащенные;210
3101;Спагетти, сухие, обогащенные;106
3102;Спельта, не подвергнутая тепловой обработке;266
3103;Спельта, приготовленная;149
3104;Тапиока, крупа, сухая;285
3105;Тефф, не приготовленный;135
3106;Тефф, приготовленный;205
3107;Тритикале;263
3108;тритикале, Мука, цельное зерно;173
3109;Ячмень, лущеный (очищенный);111
3110;ячмень, Мука, ячменная, мелкого или крупного помола;98
3111;ячмень, Мука, ячменный солод;71
3112;Beverage, milkshake mix, dry, not chocolate;165
3113;Cheese food, imitation;66
3114;Cheese product, pasteurized process, american, reduced fat, fortified with vitamin D;160
3115;Cheese product, pasteurized process, cheddar or american, reduced fat;90
3116;Cheese spread, cream cheese base;244
3117;Cheese, dry white, queso seco;276
3118;Cheese, fresh, queso fresco;101
3119;Cheese, white, queso blanco;55
3120;Dulce de Leche;128
3121;Egg Mix, USDA Commodity;76
3122;Ensure plus, liquid nutrition;184
3123;KRAFT FREE Singles American Nonfat Pasteurized Process Cheese Product;181
3124;Reddi Wip Fat Free Whipped Topping;213
3125;Sour dressing, non-butterfat, cultured, filled cream-type;263
3126;Whipped cream substitute, dietetic, made from powdered mix;286
3127;Whipped topping, frozen, low fat;241
3128;Yogurt, chocolate, nonfat milk, fortified with vitamin D;74
3129;Yogurt, fruit variety, nonfat;139
3130;Yogurt, fruit variety, nonfat, fortified with vitamin D;246
3131;Yogurt, fruit, low fat, 10 grams protein per 8 ounce, fortified with vitamin D;100
3132;Yogurt, fruit, low fat, 9 grams protein per 8 ounce, fortified with vitamin D;209
3133;Yogurt, vanilla or lemon flavor, nonfat milk, sweetened with low-calorie sweetener, fortified with vitamin D;148
3134;Yogurt, vanilla, low fat, 11 grams protein per 8 ounce, fortified with vitamin D;206
3135;Ацидофилин нежирный, 0.05%;228
3136;Ацидофилин, 1%;204
3137;Ацидофилин, 3.2%;263
3138;Ацидофилин, сладкий, 3.2%;153
3139;Белковая добавка, на основе молока, Muscle Milk Light, порошок;123
3140;Белковая добавка, на основе молока, Muscle Milk, порошок;118
3141;Белок, сухой, яйцо куриное;111
3142;БЕЛОК, яйцо куриное;201
3143;Брынза, из коровьего молока, 19.2%;196
3144;Брынза, из овечьего молока, 18.8%;73
3145;Варенец, 2.5%;210
3146;Вареники, ленивые, отварные, по 1-328;294
3147;Десертный топпинг, под давлением;54
3148;Десертный топпинг, полутвердый, замороженный;137
3149;Десертный топпинг, порошок;183
3150;Десертный топпинг, порошок, 1.5 унции приготовленные с 1/2 чашкой молока;236
3151;Желток, сухой, яйцо куриное;249
3152;ЖЕЛТОК, яйцо куриное;280
3153;Заменитель молока, жидкий, с лауриновой жирной кислотой (насыщенный жир), 3.4% жира;122
3154;Заменитель сливок, ароматизированный, жидкий, 13.5% жира;134
3155;Заменитель сливок, ароматизированный, порошок, 21.5% жира;111
3156;Заменитель сливок, жидкий, легкий, 3.5% жира;59
3157;Заменитель сливок, жидкий, с гидрогенизированным растит. маслом и соевым белком, 10%;274
3158;Заменитель сливок, жидкий, с лауриновой жирной кислотой (насыщенный жир) и казеинат натрия, 10%;102
3159;Заменитель сливок, порошок, 35%;170
3160;Заменитель сливок, порошок, легкий, 15.7% жира;174
3161;Заменитель сыра, моцарелла, 12%;51
3162;Заменитель яйца, жидкий или замороженный, обезжиренный;117
3163;Заменитель яйца, порошок;125
3164;Запеканка, из творога (творог нежирный), по 1-338;187
3165;Имитация сливок, культивируемая, 20%;106
3166;Имитация сыра, американский или чеддер, низкое сод. холестерина;215
3167;Йогурт, 1.5%;185
3168;Йогурт, 3.2%;97
3169;Йогурт, 6.0%;200
3170;Йогурт, KRAFT BREYERS LIGHT N' LIVELY, клубничный, низкожирный, 1%;120
3171;Йогурт, KRAFT BREYERS LIGHT, клубничный, обезжиренный (с Аспартамом и Фруктозой), 0.2% жира;221
3172;Йогурт, KRAFT BREYERS Smooth & Creamy, клубничный, низкожирный, 1%;146
3173;Йогурт, KRAFT BREYERS, клубничный, низкожирный, 1%;187
3174;Йогурт, ванильный, с низким содерж. жира, 11 гр белка на 8 унций, 1.25% жира;203
3175;Йогурт, обычный, обезжиренное молоко, 13 гр белка на 8 унций, 0.18% жира;222
3176;Йогурт, обычный, с низким содерж. жира, 12 гр белка на 8 унций, 1.6% жира;237
3177;Йогурт, обычный, цельное молоко, 8 гр белка на 8 унций, 3.25% жира;160
3178;Йогурт, плодово-ягодный, 1.5%;85
3179;Йогурт, с ванильным или лимонным вкусом, на обезжиренном молоке, низкокалорийный подсластитель, 0.2% жира;154
3180;Йогурт, сладкий, 3.2%;68
3181;Йогурт, сладкий, 6,0%;289
3182;Йогурт, фруктовый, маложирный, с низкокалорийным подсластителем, 1.4% жира;170
3183;Йогурт, фруктовый, маложирный, с низкокалорийным подсластителем, 1.4% жира, обогащенный витамином D;125
3184;Йогурт, фруктовый, с низким содерж. жира, 10 гр белка на 8 унций, 1.1% жира;175
3185;Йогурт, фруктовый, с низким содерж. жира, 11 гр белка на 8 унций, 1.41% жира;257
3186;Йогурт, фруктовый, с низким содерж. жира, 9 гр белка на 8 унций, 1.15% жира;240
3187;Йогурт, шоколадный, из обезжиренного молока, 0% жира;141
3188;Кефир, 1%;118
3189;Кефир, 2.5%;289
3190;Кефир, 3.2%;90
3191;Кефир, нежирный, 0.05%;86
3192;Крем творожный, с ванилином, 5%;130
3193;Кумыс, из кобыльего молока, 1%;51
3194;Кумыс, из коровьего молока, нежирный, 0.05%;191
3195;Лапшевник, с творогом, по 1-308;136
3196;Масло сливочное, без соли, 81% жира;164
3197;Масло сливочное, сбитое, с солью, 81%;142
3198;Масло сливочное, соленое, 81%;124
3199;Масло сухое, молочный жир, обезвоженный, 100%;286
3200;"Масса творожная, сладкая, ""Московская"", с ванилином, 20%";252
3201;"Масса творожная, сладкая, ""Особая"", с изюмом, 23%";196
3202;Меланж;62
3203;"Молоко, ""Дружба"", сгущенное, с сахаром, 2.5%, консерв.";200
3204;"Молоко, ""Можайское"", стерилизованное, 3%";204
3205;"Молоко, ""Славянское"", сгущенное, с сахаром, нежирное, 0.2%, консерв.";299
3206;Молоко, 3.5%, с низким содерж. натрия;154
3207;Молоко, producer, 3.7%;238
3208;Молоко, белковое, 1%;63
3209;Молоко, буйволиное;294
3210;Молоко, верблюжье;68
3211;Молоко, женское, жидкое, 4.38%;214
3212;Молоко, имитация, не соевое;221
3213;Молоко, индийского буйвола, жидкое, 6.9%;297
3214;Молоко, кобылье;295
3215;Молоко, козье, 4.2% жирности, сырое;124
3216;Молоко, козье, питьевое, 4.14%;68
3217;Молоко, консервированное, сгущенное с сахаром, 9%;126
3218;Молоко, коровье, 3.6% жирности, сырое;193
3219;Молоко, низкожирное, 1%, с доб. витамином A;127
3220;Молоко, низкожирное, 1%, с доб. витамином A и доб. обезжиренного молока;203
3221;Молоко, обезжиренное, 0.08%, с доб. витамина A;231
3222;Молоко, обезжиренное, 0.25%, обогащенное белком, с доб. витамина A;257
3223;Молоко, обезжиренное, 0.25%, с доб. обезжиренного молока, с доб. витамина A;178
3224;Молоко, обезжиренное, питьевое, 0.1%, без доб. витамина A;97
3225;Молоко, обезжиренное, с гидрогенизированными растительными маслами (вредные нжк), 4%;158
3226;Молоко, обезжиренное, с лауриновой жирной кислотой (вредные нжк), 4%;229
3227;Молоко, обогащенное белком, с доб. витамина А, с пониж. содерж. жира, 2%;257
3228;Молоко, овечье, 7.7% жирности, сырое;195
3229;Молоко, овечье, питьевое, 7%;196
3230;Молоко, пастеризованное нежирное, 0.05%;193
3231;Молоко, пастеризованное, 1.5%;219
3232;Молоко, пастеризованное, 2.5%;258
3233;Молоко, пастеризованное, 3.2%;213
3234;Молоко, пастеризованное, 3.5%;208
3235;Молоко, питьевое, 1% жира, без доб. витаминов A и D;111
3236;Молоко, питьевое, обезжиренное, 0.18% жира, обогащенное кальцием;244
3237;Молоко, с доб. витаминов А и D, с пониж. содерж. жира, 2%;210
3238;Молоко, с доб. витамином А, с пониж. содерж. жира, 2%;237
3239;Молоко, с доб. обезжиренного молока, без доб. витамина А, с пониж. содерж. жира, 2%;290
3240;Молоко, с доб. обезжиренного молока, с доб. витамина А, с пониж. содерж. жира, 2%;243
3241;Молоко, с пониж. содерж. жира, 1%, обогащенное белком, с доб. витамина А;166
3242;Молоко, сгущенное с сахаром, нежирное, 0.2%, консерв.;239
3243;Молоко, сгущенное цельное, без доб. витамина А, 8%, консерв.;291
3244;Молоко, сгущенное цельное, без доб. витаминов A и D, 8%, консерв.;58
3245;Молоко, сгущенное цельное, обезжиренное, 0.2%, консерв.;279
3246;Молоко, сгущенное цельное, с доб. витамина А, 7.6%, консерв.;117
3247;Молоко, сгущенное, с сахаром, 5%, консерв.;121
3248;Молоко, сгущенное, с сахаром, 8.5%, консерв.;155
3249;Молоко, сгущенное, стерилизованное, 7.8%, консерв.;286
3250;Молоко, сгущенное, стерилизованное, нежирное, 0.2%, консерв.;200
3251;Молоко, стерилизованное 3.5%;171
3252;Молоко, стерилизованное, 1.5%;72
3253;Молоко, стерилизованное, 2.5%;262
3254;Молоко, стерилизованное, 3.2%;141
3255;"Молоко, сухое, ""Смоленское"", 15%, консерв.";127
3256;Молоко, сухое, нежирное, 1%, консерв.;217
3257;Молоко, сухое, обезжиренное, быстрорастворимое, с доб. витамина А, 0.8% жира;279
3258;Молоко, сухое, обезжиренное, быстрорастворимое, с добавлением витамина А, 0.8% жира;277
3259;Молоко, сухое, обезжиренное, обычное, без добавления витамина А, 0.8% жира;162
3260;Молоко, сухое, обезжиренное, обычное, с доб. витамина А, 0.8% жира;160
3261;Молоко, сухое, обезжиренное, с пониженным содерж. кальция, 0.2% жира;225
3262;Молоко, сухое, цельное, 25%, консерв.;127
3263;Молоко, сухое, цельное, 27%;266
3264;Молоко, сухое, цельное, без доб витамина D;57
3265;Молоко, топленое нежирное, 0.05%;225
3266;Молоко, топленое, 1%;67
3267;Молоко, топленое, 4%;282
3268;Молоко, цельное, 3.25%;134
3269;Молоко, цельное, 3.25%, без доб. витаминов A и D;185
3270;Молоко, шоколадное, коммерческое, с доб. Кальция, с пониж. содерж. жира, 2%;277
3271;Молоко, шоколадное, коммерческое, с пониж. содерж. жира, 2%;200
3272;Молоко, шоколадное, питьевое, коммерческое, низкожирное, 1%;280
3273;Молоко, шоколадное, питьевое, коммерческое, цельное, 3.4% жира;78
3274;Молочная сыворотка, кислота, жидкая, 0.1% жира;264
3275;Молочная сыворотка, кислота, сухая, 0.5% жира;208
3276;Молочная сыворотка, сладкая, жидкая, 0.36% жира;89
3277;Молочная сыворотка, сладкая, сухая, 1% жира;239
3278;Молочный коктейль, густой, ванильный, 3% жира;97
3279;Молочный коктейль, густой, шоколадный, 2,7% жира;127
3280;Молочный шоколадный напиток, горячее какао, домашнего приготовления, 2,34% жира;105
3281;"Мороженое, ""Крем-брюле"", молочное, 3.5%";238
3282;"Мороженое, ""Молочное"", 3.5%";177
3283;Мороженое, молочное, в шоколадной глазури, 15%;260
3284;Мороженое, молочное, с плодами и ягодами, 2.8%;198
3285;Мороженое, молочное, шоколадное, 3.7%;51
3286;Мороженое, Пломбир, 15%;234
3287;Мороженое, Пломбир, в шоколадной глазури, 24%;76
3288;Мороженое, Пломбир, крем-брюле, 15%;265
3289;Мороженое, Пломбир, с плодами и ягодами, 12%;221
3290;Мороженое, Пломбир, шоколадный, 15%;224
3291;Мороженое, Сливочное, 10%;296
3292;Мороженое, Сливочное, в шоколадной глазури, 20%;125
3293;Мороженое, Сливочное, Крем-брюле, 10%;300
3294;Мороженое, Сливочное, с плодами и ягодами, 8%;146
3295;Мороженое, Сливочное, шоколадное, 10%;184
3296;Напиток, быстрорастворимый порошок, к завтраку, шоколад, без сахара, невосстановленный;246
3297;Напиток, быстрорастворимый порошок, к завтраку, шоколад, невосстановленный;276
3298;Напиток, кисломолочный, «Бифидин» 2.5%;243
3299;"Напиток, молочный, ""Снежок"", 2.5%";128
3300;"Напиток, молочный, ""Снежок"", плодово-ягодный, 1%";87
3301;"Напиток, молочный, ""Юбилейный"", 1%";144
3302;"Напиток, молочный, ""Юбилейный"", 2.5%";239
3303;"Напиток, молочный, ""Юбилейный"", плодово-ягодный, 2.5%";290
3304;Напиток, молочный, плодово-ягодный, 1%;286
3305;Омлет, из яичного порошка, по 1-316;287
3306;Паста, ацидофильная, 4%;120
3307;Паста, ацидофильная, сладкая 8%;81
3308;Паста, ацидофильная, сладкая, нежирная, 0.2%;187
3309;Паста, молочная, белковая, 0.2%;71
3310;"Пахта, ""Идеал"", пастеризованная, 1%";238
3311;"Пахта, ""Идеал"", сквашенная, 1%";198
3312;Пахта, питьевая, культивируемая, низкожирная, 1%;93
3313;Пахта, питьевая, культивируемая, с пониж. содерж. жира, 2%;252
3314;Пахта, сухая, 6% жира;294
3315;Продукт кисломолочный «Тонус» 2.5% жирности;239
3316;"Простокваша, ""Мечниковская"", 4%";255
3317;"Простокваша, ""Цитрусовая"", 2.5%";118
3318;Простокваша, 1%;131
3319;Простокваша, 2.5%;148
3320;Простокваша, 3.2%;245
3321;Простокваша, нежирная, 0.05%;68
3322;Простокваша, цитрусовая, 1%;109
3323;Ряженка, 1%;248
3324;Ряженка, 2.5%;150
3325;Ряженка, 4%;254
3326;Ряженка, 6%;184
3327;Салат, яичный, по 1-86;253
3328;Сливки, взбитые, для декорирования, под давлением, 22%;158
3329;Сливки, пастеризованные, 10%;226
3330;Сливки, пастеризованные, 20%;190
3331;Сливки, пастеризованные, 35%;163
3332;Сливки, пастеризованные, 8%;158
3333;Сливки, питьевые, взбитые, 31%;225
3334;Сливки, питьевые, взбитые, 37%;149
3335;Сливки, питьевые, полужирные, 11%;233
3336;Сливки, питьевые, полужирные, обезжиренные, 1.4%;281
3337;Сливки, питьевые, столовые сливки, 19%;96
3338;Сливки, сгущенные, с сахаром, 19%, консерв.;97
3339;Сливки, стерилизованные, 10%;153
3340;Сливки, стерилизованные, 25%;269
3341;Сливки, сухие, 42.7%, консерв.;95
3342;"Сметана, ""Домашняя"", 10%";223
3343;Сметана, 10%;269
3344;Сметана, 15%;97
3345;Сметана, 20%;230
3346;Сметана, 25%;167
3347;Сметана, 30%;195
3348;Сметана, KRAFT BREAKSTONE'S FREE, обезжиренная, 1.3%;238
3349;Сметана, KRAFT BREAKSTONE'S, с пониж. содерж. жира, 12%;238
3350;Сметана, культивированная, 20%;164
3351;Сметана, культивированная, с пониж. содерж. жира, 12%;298
3352;Сметана, легкая, 11%;280
3353;Сметана, обезжиренная, 0%;144
3354;Сметана, с пониж. содерж. жира, 14%;91
3355;Сыр козий, мягкий, 21%;210
3356;Сыр фондю, 13%;294
3357;Сыр, Cheese food, пастеризованный плавленный, американский, с двунатриевым фосфатом, 25%;124
3358;Сыр, Cheese spread, пастеризованный плавленный, американский, с двунатриевым фосфатом, 21%;165
3359;Сыр, Адыгейский, мягкий, 19.8%;90
3360;Сыр, американский чеддер, имитация;82
3361;Сыр, Бийский, твердый, 29.9%;65
3362;Сыр, бри (мягкий скоропортящийся сыр), 28%;75
3363;Сыр, брик (сыр в форме кирпича), 30%;279
3364;Сыр, гауда (сорт новозеландского мягкого сыра из цельного молока), 27%;171
3365;Сыр, гейтост, 30%;149
3366;Сыр, Голландский, брусковый, твердый, 26.6%;89
3367;Сыр, Голландский, круглый, твердый, 30.4%;112
3368;Сыр, голубой (типа рокфора), 29%;260
3369;Сыр, грюйер (сорт швейцарского сыра из цельного молока с запахом орехов);222
3370;Сыр, домашний, 4%;288
3371;Сыр, домашний, нежирный, 0.6%;122
3372;Сыр, Золушка, 10.8%, плавл.;67
3373;Сыр, камамбер, 24%;133
3374;Сыр, козий, полутвердый, 30%;161
3375;Сыр, козий, твердый, 36%;230
3376;Сыр, Колбасный, 19.4%, копченый, плавл.;153
3377;Сыр, колби (сорт мягкого пористого сыра), 32%;181
3378;Сыр, Костромской, 19.2%, плавл.;185
3379;Сыр, Костромской, твердый, 26.1%;120
3380;Сыр, Латвийский, твердый, 24.1%;211
3381;Сыр, лимбургер (сорт мягкого сыра), 27%;174
3382;Сыр, Литовский, полутвердый, 14.7%;197
3383;Сыр, маложирный, чеддер или колби, 7%;191
3384;Сыр, Медовый, 16.5%, плавл.;186
3385;Сыр, мексиканский, queso anejo, 30%;265
3386;Сыр, мексиканский, queso asadero, 29%;200
3387;Сыр, мексиканский, кесо чихуахуа, 30%;265
3388;Сыр, мексиканский, с наполнителем, с пониж. содерж. жира, 19%;118
3389;Сыр, монтерей, 30%;76
3390;Сыр, монтерей, маложирный;179
3391;Сыр, моцарелла, из снятого молока, 16%;253
3392;Сыр, моцарелла, из снятого молока, с низким содерж. влаги, 20%;128
3393;Сыр, моцарелла, из цельного молока, 22%;96
3394;Сыр, моцарелла, из цельного молока, с низким содерж. влаги, 25%;125
3395;Сыр, моцарелла, обезжиренный;54
3396;Сыр, моцарелла, с низким содерж. натрия;187
3397;Сыр, мюнстер (сорт французского полумягкого сыра), 30%;66
3398;Сыр, мюнстер, маложирный;254
3399;Сыр, Мятный, 19.1%, плавл.;272
3400;Сыр, невшатель (сорт французского полумягкого сыра), 23%;276
3401;Сыр, пармезан, нарезанный, 27%;119
3402;Сыр, пармезан, с низким содерж. натрия;234
3403;Сыр, пармезан, сухой тертый, с пониж. содерж. жира, 20%;294
3404;Сыр, пармезан, твердый (куском), 26%;270
3405;Сыр, пармезан, тертый, 29%;102
3406;Сыр, пастеризованный плавленный, американский, без двунатриевого фосфата, 31%;111
3407;Сыр, пастеризованный плавленный, американский, маложирный;56
3408;Сыр, пастеризованный плавленный, американский, с двунатриевым фосфатом, 31%;78
3409;Сыр, пастеризованный плавленный, пименто (острый плавленный сыр с перцем), 31%;298
3410;Сыр, пастеризованный плавленный, чеддер или американский, обезжиренный;242
3411;Сыр, пастеризованный плавленный, чеддер или американский, с низким содерж. натрия;157
3412;Сыр, пастеризованный плавленный, швейцарский, без двунатриевого фосфата, 25%;191
3413;Сыр, пастеризованный плавленный, швейцарский, маложирный;153
3414;Сыр, пастеризованный плавленный, швейцарский, с двунатриевым фосфатом, 25%;77
3415;Сыр, Порт Де Салют, 28%;288
3416;Сыр, Пошехонский, твердый, 26.1%;133
3417;Сыр, Прибалтийский, полутвердый, 9%;243
3418;Сыр, проволоне, 27%;280
3419;Сыр, проволоне, с пониж. содерж. жира, 18%;203
3420;Сыр, рикотта, из снятого молока, 8%;107
3421;Сыр, рикотта, из цельного молока, 13%;68
3422;Сыр, рокфор, 31%;78
3423;Сыр, Рокфор, мягкий, 28.8%;94
3424;Сыр, романо (сорт французского твердого сыра из овечьего молока), 27%;213
3425;Сыр, Российский, 23%, плавл.;245
3426;Сыр, Российский, твердый, 29.5%;87
3427;Сыр, Русский камамбер, мягкий, 28.8%;180
3428;Сыр, с тмином, 29%;64
3429;Сыр, Сказка, 18%, плавл.;119
3430;Сыр, Сластена, 11.4%, плавл.;282
3431;Сыр, сливочный, 34%;179
3432;Сыр, сливочный, маложирный;143
3433;Сыр, сливочный, обезжиренный, 1% жира;181
3434;Сыр, Советский, твердый, 31.1%;164
3435;Сыр, Сулугуни, 22%;269
3436;Сыр, Сусанинский, твердый, 23.9%;210
3437;Сыр, Сырный продукт, пастеризованный плавленный, американский, без двунатриевого фосфата;228
3438;Сыр, Сырный продукт, пастеризованный плавленный, швейцарский;186
3439;Сыр, Сырный спред, пастеризованный плавленный, американский, без двунатриевого фосфата, 21%;154
3440;Сыр, тильзит, тильзитер, 26%;226
3441;Сыр, Угличский, твердый, 26.3%;156
3442;Сыр, фета, 21%;56
3443;Сыр, фонтина, 31%;265
3444;Сыр, чеддер или колби, с пониженным содерж. натрия, 33%;150
3445;Сыр, чеддер, 33%;119
3446;Сыр, чеддер, USDA Commodity, с пониж. содерж. жира, 18%;86
3447;Сыр, Чеддер, твердый, 30.8%;186
3448;Сыр, чешир (сорт твердого сыра), 31%;145
3449;Сыр, швейцарский, 28%;193
3450;Сыр, швейцарский, маложирный;57
3451;Сыр, швейцарский, с низким содерж. натрия;161
3452;Сыр, Швейцарский, твердый, 31.6%;158
3453;Сыр, эдам, 28%;161
3454;Сыр, эмментальский;58
3455;Сыр, Ярославский, твердый, 26.6%;67
3456;Сырки творожные детские, 23% жирности;161
3457;Сырки, глазированные, с ванилином, 10.9%;205
3458;Сырки, глазированные, с ванилином, 27.7%;227
3459;Сырки, и масса творожная, сладкая, с ванилином, 16,5%;206
3460;"Сырки, масса творожная, ""Цитрон"", сладкие, 8%";105
3461;Сырники, из творога (творог нежирный), по 1-330;108
3462;Сырники, из творога, и картофеля, по 1-330;248
3463;Сырники, с морковью, по 1-332;178
3464;Сырный продукт, KRAFT CHEEZ WHIZ LIGHT;74
3465;Сырный продукт, KRAFT VELVEETA LIGHT, с пониж. содерж. жира, 10.6%;175
3466;Сырный продукт, холодная упаковка, американский;54
3467;Сырный соус, KRAFT CHEEZ WHIZ;108
3468;Сырный соус, приготовленный по рецепту, 15% жира;149
3469;Сырный спред, KRAFT VELVEETA;241
3470;"Творог, ""Крестьянский"", 5%";123
3471;"Творог, ""Столовый"", 2%";210
3472;Творог, (сыр домашний), маложирный, 1%;164
3473;Творог, (сыр домашний), маложирный, 1%, без добавления натрия;167
3474;Творог, (сыр домашний), маложирный, 1%, с овощами;70
3475;Творог, (сыр домашний), маложирный, 1%, с уменьшенным содерж. лактозы;201
3476;Творог, (сыр домашний), маложирный, 2%;197
